field_name,used_in_dashboard,used_in_analysis,orphan_flag,notes
price_at_5m,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
price_at_15m,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
price_at_30m,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
price_at_1h,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
price_at_2h,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
price_at_4h,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
price_at_day_end,False,True,False,sources=phase1b_episode_research_log.csv
move_1m,True,True,False,sources=phase1b_episode_research_log.csv
move_5m,True,True,False,sources=phase1b_episode_research_log.csv
move_15m,True,True,False,sources=phase1b_episode_research_log.csv
move_30m,True,True,False,sources=phase1b_episode_research_log.csv
move_1h,True,True,False,sources=phase1b_episode_research_log.csv
move_2h,True,True,False,sources=phase1b_episode_research_log.csv
move_4h,True,True,False,sources=phase1b_episode_research_log.csv
move_day_end,True,True,False,sources=phase1b_episode_research_log.csv
max_up_move_1h,True,False,False,sources=phase1b_episode_research_log.csv
max_down_move_1h,True,False,False,sources=phase1b_episode_research_log.csv
max_abs_move_1h,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv
time_to_max_abs_move_1h,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
max_up_move_4h,True,True,False,sources=phase1b_episode_research_log.csv
max_down_move_4h,True,True,False,sources=phase1b_episode_research_log.csv
max_abs_move_4h,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv
time_to_max_abs_move_4h,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
pre_range,True,True,False,sources=phase1b_episode_research_log.csv
pre_volatility_proxy,False,True,False,sources=phase1b_episode_research_log.csv
pre_direction,False,True,False,sources=phase1b_episode_research_log.csv
pre_compression_flag,False,True,False,sources=phase1b_episode_research_log.csv
preparation_zone_found,True,True,False,sources=phase1b_episode_research_log.csv
preparation_candidate,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv
preparation_strength,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv|phase1b_preparation_zones.csv
pre_quiet_score,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv|phase1b_preparation_zones.csv
pre_compression_ratio,True,True,False,sources=phase1b_episode_research_log.csv
pre_range_value,True,True,False,sources=phase1b_episode_research_log.csv
pre_range_ratio,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv|phase1b_preparation_zones.csv
pre_delta_mean,True,True,False,sources=phase1b_episode_research_log.csv
pre_delta_abs_mean,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv
pre_velocity_mean,True,True,False,sources=phase1b_episode_research_log.csv
pre_velocity_abs_mean,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv
pre_zscore_abs_mean,True,True,False,sources=phase1b_episode_research_log.csv
pre_market_bias,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
pre_setup_quality,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
pre_setup_reason,True,True,False,long text field; primarily detailed review; sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
preparation_start_row,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
preparation_end_row,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
preparation_duration_rows,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
pre_entropy,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
pre_price_zscore_mean,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
pre_range_mean,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
pre_volume_mean,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
pre_market_state,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
preparation_low_price,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
preparation_high_price,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
preparation_mid_price,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
episode_direction_proxy,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv
future_direction,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv
agreement_flag,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv
expansion_strength,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv
return_to_preparation,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv|phase1b_preparation_zones.csv
time_to_return_minutes,True,True,False,sources=phase1b_episode_research_log.csv
expansion_after_return,True,True,False,sources=phase1b_episode_research_log.csv
zone_revisit_count,True,True,False,sources=phase1b_episode_research_log.csv
max_move_after_return,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
direction_after_return,True,True,False,sources=phase1b_episode_research_log.csv
return_price,True,True,False,sources=phase1b_episode_research_log.csv
return_row,True,True,False,sources=phase1b_episode_research_log.csv
return_timestamp,True,True,False,sources=phase1b_episode_research_log.csv
revisit_duration_rows,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_quality.csv
revisit_expansion_delay_minutes,True,True,False,sources=phase1b_episode_research_log.csv
reversal_distance_1m,True,True,False,sources=phase1b_episode_research_log.csv
reversal_distance_5m,True,True,False,sources=phase1b_episode_research_log.csv
reversal_distance_15m,True,True,False,sources=phase1b_episode_research_log.csv
reversal_distance_30m,True,True,False,sources=phase1b_episode_research_log.csv
reversal_distance_1h,True,True,False,sources=phase1b_episode_research_log.csv
reversal_distance_4h,True,True,False,sources=phase1b_episode_research_log.csv
reversal_strength,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv
time_to_reversal_minutes,True,True,False,sources=phase1b_episode_research_log.csv
peak_before_reversal,True,True,False,sources=phase1b_episode_research_log.csv
reversal_ratio,True,True,False,sources=phase1b_episode_research_log.csv
reversal_after_return,True,True,False,sources=phase1b_episode_research_log.csv
failed_after_return,True,True,False,sources=phase1b_episode_research_log.csv
direct_reversal_flag,True,True,False,sources=phase1b_episode_research_log.csv
late_reversal_flag,True,True,False,sources=phase1b_episode_research_log.csv
reversal_type,True,True,False,sources=phase1b_episode_research_log.csv
expansion_before_reversal,True,True,False,sources=phase1b_episode_research_log.csv
time_to_expansion_minutes,True,True,False,sources=phase1b_episode_research_log.csv
expansion_to_reversal_ratio,True,True,False,sources=phase1b_episode_research_log.csv
expansion_survived,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_quality.csv
expansion_failed,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_quality.csv
expansion_type,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv
classification,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
classification_reason,True,True,False,long text field; primarily detailed review; sources=phase1b_episode_research_log.csv
manual_review_required,True,True,False,sources=phase1b_episode_research_log.csv
manual_notes,True,True,False,long text field; primarily detailed review; sources=phase1b_episode_research_log.csv
score_bucket,True,True,False,sources=phase1b_episode_research_log.csv
layer_count_bucket,False,True,False,sources=phase1b_episode_research_log.csv
severity_bucket,True,True,False,sources=phase1b_episode_research_log.csv
primary_context_bucket,True,True,False,sources=phase1b_episode_research_log.csv
date_bucket,True,True,False,sources=phase1b_episode_research_log.csv
is_research_candidate,True,True,False,sources=phase1b_episode_research_log.csv
comparison_group,True,True,False,structural summary field; sources=phase1b_comparison_log.csv
expansion_advantage_score,True,True,False,sources=phase1b_comparison_log.csv
reversal_advantage_score,True,True,False,sources=phase1b_comparison_log.csv
difference_score,True,True,False,sources=phase1b_comparison_log.csv
summary_type,True,True,False,structural summary field; sources=phase1b_comparison_log.csv
pure_expansion_count,True,True,False,sources=phase1b_comparison_log.csv|phase1b_research_summary.csv
direct_reversal_count,True,True,False,sources=phase1b_comparison_log.csv|phase1b_research_summary.csv
context_total,True,True,False,sources=phase1b_comparison_log.csv
preparation_quality_score,True,True,False,sources=phase1b_preparation_quality.csv
preparation_result,True,True,False,sources=phase1b_preparation_quality.csv
row_type,True,True,False,structural summary field; sources=phase1b_preparation_quality.csv
summary_metric,True,True,False,structural summary field; sources=phase1b_preparation_quality.csv
summary_value,True,True,False,structural summary field; sources=phase1b_preparation_quality.csv
mode,False,True,False,sources=phase1b_research_summary.csv
episodes_total,False,True,False,sources=phase1b_research_summary.csv
episodes_analyzed,False,True,False,sources=phase1b_research_summary.csv
episodes_loaded,False,True,False,sources=phase1b_research_summary.csv
episodes_score4plus,False,True,False,sources=phase1b_research_summary.csv
research_candidates,False,True,False,sources=phase1b_research_summary.csv
momentum_count,False,True,False,sources=phase1b_research_summary.csv
momentum_precursor_count,False,True,False,sources=phase1b_research_summary.csv
acceleration_zone_count,False,True,False,sources=phase1b_research_summary.csv
pre_expansion_count,False,True,False,sources=phase1b_research_summary.csv
context_only_count,False,True,False,sources=phase1b_research_summary.csv
reversal_count,True,True,False,sources=phase1b_research_summary.csv
reversal_warning_count,False,True,False,sources=phase1b_research_summary.csv
accumulation_count,False,True,False,sources=phase1b_research_summary.csv
absorption_count,False,True,False,sources=phase1b_research_summary.csv
failed_count,True,True,False,sources=phase1b_research_summary.csv
failed_context_count,False,True,False,sources=phase1b_research_summary.csv
range_noise_count,False,True,False,sources=phase1b_research_summary.csv
unknown_count,False,True,False,sources=phase1b_research_summary.csv
score_4_count,False,True,False,sources=phase1b_research_summary.csv
score_5_count,False,True,False,sources=phase1b_research_summary.csv
score_6_count,False,True,False,sources=phase1b_research_summary.csv
preparation_zone_count,False,True,False,sources=phase1b_research_summary.csv
preparation_candidate_count,True,True,False,sources=phase1b_research_summary.csv
preparation_high_count,False,True,False,sources=phase1b_research_summary.csv
preparation_extreme_count,False,True,False,sources=phase1b_research_summary.csv
return_to_preparation_count,False,True,False,sources=phase1b_research_summary.csv
return_count,True,True,False,sources=phase1b_research_summary.csv
return_success_count,False,True,False,sources=phase1b_research_summary.csv
return_failure_count,False,True,False,sources=phase1b_research_summary.csv
agreement_true,True,True,False,sources=phase1b_research_summary.csv
agreement_false,True,True,False,sources=phase1b_research_summary.csv
agreement_unknown,True,True,False,sources=phase1b_research_summary.csv
high_expansion_count,False,True,False,sources=phase1b_research_summary.csv
extreme_expansion_count,False,True,False,sources=phase1b_research_summary.csv
avg_return_delay,True,True,False,sources=phase1b_research_summary.csv
avg_revisit_duration,True,True,False,sources=phase1b_research_summary.csv
avg_quiet_score,True,True,False,sources=phase1b_research_summary.csv
avg_range_ratio,True,True,False,sources=phase1b_research_summary.csv
best_preparation_cases,False,True,False,sources=phase1b_research_summary.csv
failed_preparation_cases,False,True,False,sources=phase1b_research_summary.csv
reversal_after_return_count,False,True,False,sources=phase1b_research_summary.csv
late_reversal_count,False,True,False,sources=phase1b_research_summary.csv
failed_after_return_count,True,True,False,sources=phase1b_research_summary.csv
avg_time_to_reversal,False,True,False,sources=phase1b_research_summary.csv
avg_reversal_strength_score,False,True,False,sources=phase1b_research_summary.csv
extreme_reversal_count,False,True,False,sources=phase1b_research_summary.csv
high_reversal_count,False,True,False,sources=phase1b_research_summary.csv
expansion_then_reversal_count,False,True,False,sources=phase1b_research_summary.csv
failed_expansion_count,False,True,False,sources=phase1b_research_summary.csv
direct_reversal_expansion_split_count,False,True,False,sources=phase1b_research_summary.csv
avg_expansion_strength,False,True,False,sources=phase1b_research_summary.csv
avg_expansion_to_reversal_ratio,False,True,False,sources=phase1b_research_summary.csv
preparation_zones_found,False,True,False,sources=phase1b_research_summary.csv
preparation_zones_written,False,True,False,sources=phase1b_research_summary.csv
momentum_precursor_with_preparation,False,True,False,sources=phase1b_research_summary.csv
reversal_warning_with_preparation,False,True,False,sources=phase1b_research_summary.csv
failed_context_with_preparation,False,True,False,sources=phase1b_research_summary.csv
pre_expansion_with_preparation,False,True,False,sources=phase1b_research_summary.csv
pre_state_range_episodes,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_research_summary.csv
pre_state_range_favorable_count,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_research_summary.csv
pre_state_range_failed_count,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_research_summary.csv
pre_state_range_reversal_count,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_research_summary.csv
pre_state_range_success_rate,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_research_summary.csv
